id;codice_comune;foglio;particella;subalterno;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;id_list;meta_immobile;lista_file_ape;classe_energetica_ape;epglnren_ape;classe_target_ape;list_file_ape_filtered;coordinate_ds_coerenti;list_file_ape_validated;fonte_coordinate_usata;list_file_ape_validated_norm;plot_filename;id_left;zona_omi
690067;L219;1179;259;2;96.0;FABBRICATO;Via Capua;7;45.0835992;7.6678697;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Demanio;;Non Dichiarato;in locazione;4301.0;01/04/2021;1;;False;['2020_102099_0141.xml'];F;278.66;E;['2020_102099_0141.xml'];True;['2020_102099_0141.xml'];originali;('2020_102099_0141.xml',);ape_summary_fb4a8e5c236a.html;690067;C8
690068;L219;1179;259;3;107.0;FABBRICATO;Via Capua;7;45.0835992;7.6678697;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Demanio;;Non Dichiarato;in locazione;2848.0;01/04/2021;1;;False;['2020_102099_0142.xml'];E;222.95;E;['2020_102099_0142.xml'];True;['2020_102099_0142.xml'];originali;('2020_102099_0142.xml',);ape_summary_e107311e1558.html;690068;C8
690384;L219;1183;194;8;1902.0;FABBRICATO;corso vercelli;15;45.0846234;7.6855438;Ufficio strutturato ed assimilabili;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;;;;1;;False;['2021_106141_0052.xml'];G;326.39;F;['2021_106141_0052.xml'];True;['2021_106141_0052.xml'];originali;('2021_106141_0052.xml',);ape_summary_f01a43874349.html;690384;C19
690538;L219;1345;333;177;49.0;FABBRICATO;via gessi romolo;4;45.0506139;7.6533392;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2021_313821_0163.xml'];F;181.18;E;['2021_313821_0163.xml'];True;['2021_313821_0163.xml'];originali;('2021_313821_0163.xml',);ape_summary_c33cf9ed4dc9.html;690538;D18
690575;L219;1089;306;101;48.0;FABBRICATO;via vittime di bologna;11;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0036.xml'];D;84.88;C;['2022_312661_0036.xml'];True;['2022_312661_0036.xml'];originali;('2022_312661_0036.xml',);ape_summary_437dc46e11b9.html;690575;D15
690576;L219;1089;306;102;48.0;FABBRICATO;via vittime di bologna;11;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2020_312661_0028.xml'];E;84.99;D;['2020_312661_0028.xml'];True;['2020_312661_0028.xml'];originali;('2020_312661_0028.xml',);ape_summary_3c5e566cd8b0.html;690576;D15
690585;L219;1089;306;110;48.0;FABBRICATO;via vittime di bologna;11;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2020_312661_0132.xml'];E;149.59;E;['2020_312661_0132.xml'];True;['2020_312661_0132.xml'];originali;('2020_312661_0132.xml',);ape_summary_849514310ccf.html;690585;D15
690595;L219;1089;306;121;48.0;FABBRICATO;Via Vittime di Bologna;13;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0037.xml', '2022_312661_0038.xml'];F;170.94;E;['2022_312661_0037.xml', '2022_312661_0038.xml'];True;['2022_312661_0037.xml', '2022_312661_0038.xml'];originali;('2022_312661_0037.xml', '2022_312661_0038.xml');ape_summary_415c1352cc3b.html;690595;D15
690625;L219;1089;306;151;48.0;FABBRICATO;Via Vittime di Bologna;15;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0039.xml'];E;91.0;D;['2022_312661_0039.xml'];True;['2022_312661_0039.xml'];originali;('2022_312661_0039.xml',);ape_summary_ed10a45fb053.html;690625;D15
690629;L219;1089;306;155;48.0;FABBRICATO;Via Vittime di Bologna;15;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;1;;False;['2022_312661_0040.xml'];E;126.48;D;['2022_312661_0040.xml'];True;['2022_312661_0040.xml'];originali;('2022_312661_0040.xml',);ape_summary_e7c520a11510.html;690629;D15
