file,unita,indirizzo,data_emissione,classe,epglnren,epglren,co2,superficie,vettore,serv_risc,serv_acs,serv_raf,serv_vent,serv_illu,serv_trasp,destinazione_uso_cod,oggetto_attestato_cod,tipologia_edilizia_cod,piano,codice_catastale,sezione,foglio,particella,subA,subDA,subalterno,anno_costruzione,lat,lon,coordinate_str,comune,zona_climatica,intervento_desc,intervento_classe_target,intervento_payback,qualita_invernale,qualita_estiva,fonti_rinnovabili,imp_risc_anno,imp_risc_desc,imp_risc_tipo,imp_risc_epnren,imp_acs_anno,imp_acs_desc,imp_acs_tipo,imp_acs_epnren,imp_raf_anno,imp_raf_desc,imp_raf_tipo,imp_raf_epnren,consumo_kwh_tot,tipologia_edilizia_str,ape_class_score,ape_system_score,ape_envelope_score,ape_renewables_score,ape_total_points,ape_score,kwh_per_sqm,energy_score,estimated_cost_year,cost_per_sqm_year
2019_102480_0001.xml,333,via treviso 24g,2019-01-23,C,137.84,55.49,30.62,240.0,Energia elettrica da rete,True,True,True,False,False,False,1.0,1.0,3.0,1.0,L219,0,1153.0,130.0,333.0,333.0,,2001.0,45.0661111111111,7.68222222222222,"45.0661111111111, 7.68222222222222",TORINO,E,2Modifica dell'impianto esistentefalse14B119.06B119.06,B,14.0,Triste,Triste,No,2005.0,Impianto 3...,Pompa di calore,92.07,2005.0,ACS autonomo,Boiler elettrico,6.83,2005.0,Impianto 4...,Pompa di calore,38.94,16964.0,Ed. Plurifam.,3,2,1,2,8,1,70.68333333333334,90.0,4241.0,17.670833333333334
2019_111718_0042.xml,334,VIA LIVORNO SN,2019-03-12,C,221.98,44.58,48.08,83.81,Energia elettrica da rete,True,True,True,False,True,False,1.0,1.0,7.0,1.0,L219,0,1153.0,130.0,334.0,334.0,,2002.0,45.0661111111111,7.68222222222222,"45.0661111111111, 7.68222222222222",TORINO,E,0MIGLIORAMENTO COIBENTAZIONE TAMPONATURE ESTERNEfalse6C215.55C215.55,C,6.0,Triste,Basita/o,No,2002.0,PRINCIPALE,Caldaia standard,83.95,2002.0,Impianto 2...,Scalda-acqua a gas,3.66,2002.0,Impianto 1...,Pompa di calore,0.58,10255.08,N/D,3,2,1,2,8,1,122.36105476673427,83.0,2563.77,30.590263691683568
2021_113118_0037.xml,334,via Camino 14,2021-07-27,F,160.18,11.86,33.8,84.03,Gas naturale,True,True,False,False,False,False,0.0,1.0,9.0,3.0,L219,,1184.0,10.0,334.0,334.0,,1960.0,45.066111,7.682222,"45.066111, 7.682222",TORINO,E,1Sostituzione dei serramentifalse26E126.30E126.30,E,26.0,Triste,Triste,No,2012.0,a metano,Caldaia a condensazione,111.18,2005.0,elettrico ad accumulo,Boiler elettrico,49.0,,,,,11464.6,App. Condominio,1,2,1,2,6,1,136.4346066880876,61.0,2866.15,34.1086516720219
2021_203171_0003.xml,337,STEFANO TEMPIA 3,2021-12-09,C,61.68,0.82,12.23,92.07,Gas naturale,False,False,False,False,False,False,0.0,1.0,6.0,15.0,L219,,1043.0,73.0,337.0,337.0,,1983.0,45.1178718283453,7.70801903802873,"45.1178718283453, 7.70801903802873",Torino,E,0cappotto aggiuntivo09B52.7B52.7,B,9.0,Basita/o,Basita/o,No,2019.0,,Caldaia a condensazione,29.23,2019.0,,Caldaia a condensazione,32.45,,,,,5535.548,N/D,3,2,3,2,10,2,60.12325404583469,89.0,1383.887,15.030813511458673
2019_102351_0145.xml,34,Corso Vercelli 487-2,2019-07-22,B,84.89,136.88,20.46,42.14,Biomasse solide,True,True,False,False,False,False,0.0,1.0,3.0,3.0,L219,,1043.0,40.0,34.0,34.0,,1925.0,45.1191,7.7102,"45.1191, 7.7102",Torino,E,sostituzione generatore per ACS,B,1.53,Triste,Triste,No,2018.0,,Teleriscaldamento,31.48,2018.0,,Boiler elettrico,53.41,,,,,7693.66,Ed. Plurifam.,4,2,1,2,9,2,182.5738016136687,38.0,1923.415,45.64345040341718
2019_312661_0201.xml,34,Via Maddalene 6,2019-08-11,G,259.06,2.18,52.14,48.4,Gas naturale,True,True,False,False,False,False,0.0,1.0,3.0,5.0,L219,,1145.0,43.0,34.0,34.0,,1970.0,45.0905,7.7067,"45.0905, 7.7067",Torino,E,Installazione valvole termostatiche,F,5.34,Triste,Basita/o,No,2006.0,,Caldaia a condensazione,162.79,2005.0,,Caldaia standard,96.27,,,,,11754.4,Ed. Plurifam.,1,2,1,2,6,1,242.8595041322314,14.0,2938.6,60.71487603305785
2020_102099_0041.xml,34,Via Pianezza snc,2020-09-26,G,263.74,51.11,37.2,74.78,Energia elettrica da rete,False,False,False,False,False,False,0.0,1.0,3.0,1.0,L219,,1121.0,41.0,34.0,34.0,,1980.0,45.095476,7.645642,"45.095476, 7.645642",TORINO,E,Insufflaggio pareti esterne,G,5.0,Triste,Triste,No,2015.0,Teleriscaldamento,Teleriscaldamento,53.99,2000.0,Boiler elettrico,Boiler elettrico,209.75,,,,,11813.0,Ed. Plurifam.,1,5,1,2,9,2,157.97004546670232,51.0,2953.25,39.49251136667558
2020_212533_0059.xml,34,Viale dei Mughetti 29bis,2020-03-02,D,110.93,0.0,45.83,43.06,Teleriscaldamento,True,True,False,False,False,False,0.0,1.0,2.0,1.0,L219,0,1069.0,150.0,34.0,34.0,,1965.0,45.1039417,7.6264605,"45.1039417, 7.6264605",TORINO,E,0Coibentazione pareti freddefalse2C73.65C73.65,C,2.0,Triste,Triste,No,2000.0,PRINCIPALE,Teleriscaldamento,81.78,2000.0,ACS,Scalda-acqua a gas,29.15,,,,,6881.44,N/D,3,2,1,2,8,1,159.8104969809568,50.0,1720.36,39.9526242452392
2020_312661_0107.xml,34,Via Bologna 265-267 Torino,2020-07-24,F,162.71,13.52,34.56,68.0,Gas naturale,True,True,False,False,False,False,0.0,1.0,3.0,6.0,L219,,1144.0,86.0,34.0,34.0,,1965.0,45.0931,7.7141,"45.0931, 7.7141",Torino,E,installazione valvole termostatiche,E,2.85,Triste,Triste,No,2002.0,,Caldaia standard,110.36,2020.0,,Boiler elettrico,52.35,,,,,8863.3,Ed. Plurifam.,1,2,1,2,6,1,130.34264705882353,64.0,2215.825,32.58566176470588
2021_113184_0095.xml,34,via Sant'Agostino 26 Torino,2021-11-25,F,172.0,1.88,34.68,39.4,Gas naturale,True,True,False,False,False,False,0.0,1.0,5.0,,L219,,209.0,128.0,34.0,34.0,,1983.0,45.0756,7.6806,"45.0756, 7.6806",Torino,E,coibentazione pareti,E,5.84,Triste,Basita/o,No,2018.0,,Caldaia a condensazione,140.48,2018.0,,Caldaia a condensazione,31.52,,,,,6320.799999999999,N/D,1,2,1,2,6,1,160.4263959390863,49.0,1580.1999999999998,40.10659898477157
