id;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;numero_immobili_per_catasto;meta_immobile;list_file_ape_validated;plot_filename;classe_energetica_ape;epglnren_ape
3107662;8480.25;FABBRICATO;Via Lanzo;25;45.11037159;7.66288434;Abitazione;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;5;True;[];;;
3107663;432.5;FABBRICATO;Piazza Stampalia;85;45.11216912;7.65945722;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;True;[];;;
3107664;4485.75;FABBRICATO;Via Alfonso Badini Confalonieri;74;45.10972467;7.65746834;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107665;541.0;FABBRICATO;CORSO FERRARA;50;45.1091131;7.624154;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;in locazione;5053.0;01/07/2022;6;True;['2022_102099_0003.xml', '2022_102099_0004.xml', '2022_102099_0006.xml'];ape_summary_eb804f7fa70c.html;G;409.31
3107666;462.0;FABBRICATO;Corso Ferrara;50;45.1088208;7.6243678;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Non Dichiarato;in locazione;839.0;01/02/2021;6;True;['2022_102099_0005.xml', '2022_102099_0007.xml', '2022_102099_0008.xml', '2022_102099_0009.xml', '2022_102099_0010.xml', '2022_102099_0011.xml', '2022_102099_0012.xml'];ape_summary_fc4fb084faf9.html;G;343.73
3107667;1147.0;FABBRICATO;Corso Ferrara;50;45.1089546;7.6249603;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;7;True;['2022_102099_0001.xml', '2022_102099_0002.xml'];ape_summary_8261da254604.html;G;343.75
3107668;256.0;FABBRICATO;TRAVES (VIA);15;45.1110678;7.6270079;Area urbana;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;True;[];;;
3107669;821.0;FABBRICATO;Viale dei Mughetti;29;45.1035106;7.6262609;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;14;True;['2019_212533_0285.xml', '2019_104581_0008.xml', '2019_104581_0009.xml', '2019_104581_0010.xml', '2020_212533_0036.xml', '2020_212533_0050.xml', '2020_212533_0058.xml', '2020_212533_0059.xml', '2020_212533_0060.xml', '2020_212533_0061.xml', '2020_212533_0062.xml', '2020_212533_0063.xml', '2020_212533_0064.xml', '2020_212533_0065.xml', '2020_212533_0066.xml', '2020_212533_0067.xml', '2020_212533_0068.xml'];ape_summary_9164e00aa7ff.html;D;102.50
3107670;1919.0;FABBRICATO;Via delle Primule;28;45.101346;7.6257195;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;20;True;['2019_104581_0012.xml'];ape_summary_be68162049ed.html;G;350.46
3107671;2504.0;FABBRICATO;Via delle Primule;28;45.1015754;7.6254584;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;24;True;[];;;
3107672;7083.0;FABBRICATO;Viale dei Mughetti;29;45.1027845;7.626643;Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;3;True;[];;;
3107673;5230.0;FABBRICATO;Viale dei Mughetti;18;45.10349;7.6294585;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;61;True;[];;;
3107674;4816.0;FABBRICATO;Via delle Verbene;6;45.1045183;7.6339075;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107675;1022.0;FABBRICATO;Piazza Montale Eugenio;14;45.1039316;7.6304668;Ufficio strutturato ed assimilabili;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività amministrativa/uffici pubblici;in concessione a titolo oneroso;4675.0;26/07/2012;6;True;[];;;
3107676;1073.75;FABBRICATO;Via delle Magnolie;22;45.1020481;7.631245;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107677;5264.75;FABBRICATO;Via delle Magnolie;5;45.101221;7.6339661;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi ordine pubblico, sicurezza nazionale e militare;;;;2;True;[];;;
3107678;4825.5;FABBRICATO;Via delle Magnolie;9;45.1011868;7.6330653;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107679;1402.5;FABBRICATO;via sansovino andrea;111;45.1034426;7.6420466;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107680;5170.5;FABBRICATO;Via Luigi Ambrosini;1;45.1036729;7.6427263;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107681;700.0;FABBRICATO;via sansovino andrea;90 30;45.1016765;7.6424735;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;13;True;['2021_209689_0213.xml', '2021_211573_0060.xml', '2021_212247_0101.xml'];ape_summary_00ba167d682c.html;G;224.75
3107682;112.0;FABBRICATO;Via Parenzo;95;45.1021485;7.6440672;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;True;['2021_103686_0016.xml'];ape_summary_12ce7476a307.html;G;278.21
3107683;196.0;FABBRICATO;via parenzo;96 19;45.1018079;7.6443773;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;4;True;['2019_113118_0021.xml', '2019_209281_0002.xml'];ape_summary_af1e5f329877.html;B;84.09
3107684;223.0;FABBRICATO;via pirano;17 62;45.1018393;7.645051;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;3;True;['2020_113535_0013.xml', '2020_212533_0092.xml'];ape_summary_189fd808c451.html;E;108.71
3107685;487.0;FABBRICATO;via parenzo;80 24;45.1012887;7.6441239;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;9;True;['2020_100824_0001.xml', '2020_104819_0008.xml', '2021_213683_0001.xml', '2022_213615_0228.xml'];ape_summary_e2b055a5f192.html;F;167.04
3107686;96.0;FABBRICATO;corso cincinnato l. quinzio;173;45.1008092;7.6449622;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;True;[];ape_summary_ecae9f3a0324.html;E;166.32
3107687;111.0;FABBRICATO;corso cincinnato l. quinzio;179;45.1010394;7.6454044;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;True;[];;;
3107688;573.0;FABBRICATO;via pirano;9 8;45.1014813;7.6452793;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;11;True;['2021_106141_0037.xml', '2021_108752_0016.xml', '2022_101774_0023.xml', '2022_213594_0004.xml'];ape_summary_b3119e73a1ea.html;F;274.02
3107689;468.0;FABBRICATO;via sansovino andrea;98 44;45.1024963;7.6425016;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;9;True;['2019_207709_0013.xml', '2020_212533_0271.xml', '2021_202695_0029.xml'];ape_summary_ee91937d73b3.html;C;55.35
3107690;662.0;FABBRICATO;via sansovino andrea;98 48;45.1022661;7.6431821;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;13;True;['2021_106141_0022.xml', '2022_212533_0104.xml', '2022_213615_0502.xml'];ape_summary_2e2d8221b930.html;G;288.57
3107691;7168.0;FABBRICATO;via luini bernardino;195;45.1022616;7.6501839;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107692;2565.0;FABBRICATO;Via Fiesole;15;45.1038635;7.6475726;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107693;1505.5;FABBRICATO;Via Fiesole;15;45.1043885;7.6491084;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi assistenza socio-sanitaria (non residenziali);;;;2;True;[];;;
3107694;1034.5;FABBRICATO;Piazza Manno Giuseppe;22;45.1049589;7.65539;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107695;1089.0;FABBRICATO;Via Giovanni Segantini;44;45.1018584;7.6520858;Abitazione;Dopo il 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;14;True;[];;;
3107696;2883.75;FABBRICATO;via sospello;64;45.1027197;7.67131784;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107697;1772.0;FABBRICATO;Via Michele Coppino;152;45.10206951;7.67177977;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107698;1701.25;FABBRICATO;Via Michele Coppino;147;45.10086752;7.6716842;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107699;6297.75;FABBRICATO;Via Leonardo Fea;2;45.10513902;7.67772177;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107700;152.0;FABBRICATO;via paolo della cella;3;45.10513776;7.67861554;Abitazione;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in locazione;0.0;01/01/2019;2;True;[];ape_summary_28bc893164e4.html;E;285.9
3107701;1357.0;FABBRICATO;via reiss romoli guglielmo;81;45.107576;7.6887712;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;16;True;['2022_113065_0008.xml', '2022_113065_0009.xml', '2022_204623_0034.xml'];ape_summary_4fa37c194076.html;F;249.44
3107702;384.0;FABBRICATO;Via Antonio e Vittorio Scialoja;26;45.1062222;7.6910365;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;5;True;['2019_105913_0021.xml', '2022_214176_0235.xml'];ape_summary_004a37836915.html;G;206.82
3107703;9322.0;FABBRICATO;via reiss romoli guglielmo;45;45.1072299;7.6910618;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107704;468.0;FABBRICATO;via reiss romoli guglielmo;51;45.1073937;7.6906976;Mercato coperto;Prima del 1919;Nessuno;Patrimonio indisponibile;Non utilizzato;Non Dichiarato;;;;9;True;[];;;
3107705;1737.0;FABBRICATO;via borgo ticino;17;45.1060535;7.6951578;Abitazione;Dal 1981 al 1990;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Non Dichiarato;in locazione;611.0;01/07/2021;21;True;['2019_103654_0004.xml', '2019_103654_0005.xml', '2019_103654_0006.xml', '2019_103654_0009.xml', '2020_102099_0091.xml', '2020_102099_0093.xml', '2020_102099_0094.xml', '2020_102099_0095.xml', '2020_102099_0096.xml', '2020_102099_0098.xml', '2020_102099_0099.xml', '2020_102099_0100.xml', '2020_102099_0101.xml', '2020_102099_0102.xml', '2020_102099_0103.xml', '2020_102099_0104.xml', '2020_102099_0105.xml', '2020_102099_0106.xml', '2021_102099_0003.xml'];ape_summary_fabe2fe132b6.html;D;110.15
3107706;401.0;FABBRICATO;via veronese paolo;41;45.1048679;7.690042;Abitazione;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;5;True;[];ape_summary_2bc79c8938fa.html;D;114.82
3107707;203.0;FABBRICATO;via pertengo;19;45.1044658;7.6935381;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;3;True;[];;;
3107708;148.0;FABBRICATO;via pertengo;17;45.1044517;7.6936618;Abitazione;Dal 1919 al 1945;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;2;True;[];;;
3107709;3052.75;FABBRICATO;Via Campobasso;11;45.1088694;7.6983436;Abitazione;Dal 1961 al 1970;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107710;3733.5;FABBRICATO;via scotellaro rocco;7;45.1063616;7.7004232;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107711;1565.0;FABBRICATO;via vittime di bologna;21;45.1031816;7.7288041;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;20;True;[];;;
3107712;1069.0;FABBRICATO;via vittime di bologna;16 B;45.1024998;7.7295668;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;13;True;[];;;
3107713;6979.0;FABBRICATO;via vittime di bologna;11;45.1018356;7.7289107;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;145;True;['2020_312661_0026.xml', '2020_312661_0027.xml', '2020_312661_0028.xml', '2020_312661_0132.xml', '2020_312661_0139.xml', '2021_312661_0030.xml', '2022_312661_0010.xml', '2022_312661_0011.xml', '2022_312661_0012.xml', '2022_312661_0030.xml', '2022_312661_0031.xml', '2022_312661_0032.xml', '2022_312661_0033.xml', '2022_312661_0034.xml', '2022_312661_0035.xml', '2022_312661_0036.xml', '2022_312661_0037.xml', '2022_312661_0038.xml', '2022_312661_0039.xml', '2022_312661_0040.xml', '2022_312661_0041.xml', '2022_312661_0042.xml', '2022_312661_0043.xml', '2022_312661_0044.xml', '2022_312661_0084.xml', '2022_312661_0125.xml'];ape_summary_e41a82de1267.html;F;193.58
3107714;436.0;FABBRICATO;Via Martino Anglesio;23;45.1049848;7.7321939;Impianto sportivo;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;2;True;[];;;
3107715;379.0;FABBRICATO;Via Martino Anglesio;25;45.1049984;7.7327094;Locale commerciale, negozio;Dal 1981 al 1990;Nessuno;Patrimonio disponibile;Utilizzato direttamente;Altro;;;;5;True;[];;;
3107716;3834.25;FABBRICATO;Via Martino Anglesio;15;45.1049775;7.7304901;Abitazione;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107717;4356.0;FABBRICATO;via vittime di bologna;10;45.1017418;7.7299162;Abitazione;Dal 1971 al 1980;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;2;True;[];;;
3107718;3244.0;FABBRICATO;strada scarafiotti;44;45.103231;7.7310744;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;37;True;['2020_312661_0138.xml'];ape_summary_c5086c3d95d1.html;F;179.49
3107719;2847.0;FABBRICATO;strada scarafiotti;43;45.1028189;7.7301626;Abitazione;Dal 1981 al 1990;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;34;True;[];;;
