id;codice_comune;foglio;particella;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;meta_immobile;numero_immobili_per_catasto
691954;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691955;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691956;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691957;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691958;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691959;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691960;L219;1186;167;55.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691961;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691962;L219;1186;167;12.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691963;L219;1186;167;10.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691964;L219;1186;167;10.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691965;L219;1186;167;10.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691966;L219;1186;167;10.0;FABBRICATO;Via Bioglio;38;45.0872881;7.6974772;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691967;L219;1186;167;50.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691968;L219;1186;167;46.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691969;L219;1186;167;50.0;FABBRICATO;Via Bioglio;16;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691970;L219;1186;167;54.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691971;L219;1186;167;67.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691972;L219;1186;167;54.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691973;L219;1186;167;79.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691974;L219;1186;167;83.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691975;L219;1186;167;79.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691976;L219;1186;167;83.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691977;L219;1186;167;78.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691978;L219;1186;167;81.0;FABBRICATO;Via Bioglio;18;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691979;L219;1186;167;57.0;FABBRICATO;Via Bioglio;20;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
691980;L219;1186;167;54.0;FABBRICATO;Via Bioglio;20;45.0872881;7.6974772;Abitazione;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
