id;codice_comune;foglio;particella;superficie_di_riferimento_mq;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;tipologia_bene_immobile;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;meta_immobile;numero_immobili_per_catasto
693154;L219;1112;115;86.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693155;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693156;L219;1112;115;88.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693157;L219;1112;115;123.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693158;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693159;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693160;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693161;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693162;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693163;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693164;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693165;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693166;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693167;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693168;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693169;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693170;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693171;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693172;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693173;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693174;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693175;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693176;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693177;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693178;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693179;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693180;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693181;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693182;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693183;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693184;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693185;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693186;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693187;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693188;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693189;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693190;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693191;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693192;L219;1112;115;8.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693193;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693194;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693195;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693196;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693197;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693198;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693199;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693200;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693201;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693202;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693203;L219;1112;115;8.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693204;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693205;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693206;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693207;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693208;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693209;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693210;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693211;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693212;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693213;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693214;L219;1112;115;8.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693215;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693216;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693217;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693218;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693219;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693220;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693221;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693222;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693223;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693224;L219;1112;115;12.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693225;L219;1112;115;14.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693226;L219;1112;115;119.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693227;L219;1112;115;87.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693228;L219;1112;115;88.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693229;L219;1112;115;117.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693230;L219;1112;115;89.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693231;L219;1112;115;87.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693232;L219;1112;115;119.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693233;L219;1112;115;86.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693234;L219;1112;115;88.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693235;L219;1112;115;118.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693236;L219;1112;115;14.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Cantina, soffitta, rimessa, box, garage, posto auto aperto/scoperto,;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693237;L219;1112;115;88.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693238;L219;1112;115;86.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693239;L219;1112;115;119.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693240;L219;1112;115;87.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693241;L219;1112;115;88.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693242;L219;1112;115;118.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693243;L219;1112;115;88.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693244;L219;1112;115;85.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693245;L219;1112;115;119.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693246;L219;1112;115;87.0;FABBRICATO;Via Andrea Sansovino;26;45.098497;7.6362104;Abitazione;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693247;L219;1217;166;96.0;FABBRICATO;corso regina margherita;115 A;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693248;L219;1217;166;69.0;FABBRICATO;Piazza della Repubblica;10;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693249;L219;1217;166;31.0;FABBRICATO;Piazza della Repubblica;10;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693250;L219;1217;166;138.0;FABBRICATO;Piazza della Repubblica;0;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693251;L219;1217;166;113.0;FABBRICATO;Piazza della Repubblica;6;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693252;L219;1217;166;38.0;FABBRICATO;Piazza della Repubblica;6;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693253;L219;1217;166;101.0;FABBRICATO;Piazza della Repubblica;6;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693254;L219;1217;166;46.0;FABBRICATO;Piazza della Repubblica;6;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693255;L219;1217;166;54.0;FABBRICATO;Piazza della Repubblica;6;45.0756668;7.684525;Ufficio strutturato ed assimilabili;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693256;L219;1217;166;126.0;FABBRICATO;Piazza della Repubblica;6;45.0756668;7.684525;Locale commerciale, negozio;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;False;1
693257;L219;1217;166;142.0;FABBRICATO;Piazza della Repubblica;10;45.0756668;7.684525;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693258;L219;1217;166;144.0;FABBRICATO;Piazza della Repubblica;10;45.0756668;7.684525;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693259;L219;1217;166;170.0;FABBRICATO;Piazza della Repubblica;10;45.0756668;7.684525;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693260;L219;1217;166;215.0;FABBRICATO;Piazza della Repubblica;8;45.0756668;7.684525;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693261;L219;1217;166;177.0;FABBRICATO;Piazza della Repubblica;8;45.0756668;7.684525;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
693262;L219;1217;166;138.0;FABBRICATO;Piazza della Repubblica;6;45.0756668;7.684525;Abitazione;Prima del 1919;Dichiarazione di interesse culturale;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;False;1
