Popolazione maschile e femminile iscritta in anagrafe al 31 dicembre 2023 per zone urbanistiche e classi di età quinquennali,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Municipi,Zona urbanistiche Old,Classi quinquennali - maschi e femmine,,,,,,,,,,,,,,,,,,Totale
,,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,oltre,
,18B,1.019,1.133,1.448,1.611,1.464,1.528,1.783,1.940,2.253,2.534,3.158,3.090,2.447,1.866,1.466,1.449,1.315,1.693,33.197
,18C,1.079,1.236,1.399,1.555,1.461,1.432,1.701,1.901,1.917,2.284,2.617,2.609,2.248,1.841,1.448,1.243,956,881,29.808
,18D,455,623,675,807,818,797,851,927,1.042,1.200,1.440,1.644,1.344,1.087,996,935,878,1.182,17.701
,18E,616,824,854,827,821,888,1.067,1.092,1.187,1.342,1.412,1.459,1.246,1.059,904,714,557,571,17.440
,18F,248,375,452,471,424,407,391,449,520,631,733,741,592,444,340,269,233,193,7.913
,n.l.,26,25,38,20,30,62,63,56,67,63,68,53,70,66,47,13,6,2,775
,Totale municipio,4.089,5.035,5.889,6.356,6.108,6.186,6.902,7.563,8.445,9.776,11.539,11.875,9.820,7.900,6.525,5.959,5.133,5.888,130.988
XIV,19A,1.238,1.457,1.791,1.970,1.909,1.807,1.826,1.922,2.185,2.604,3.227,3.590,3.244,2.707,2.199,1.968,1.734,2.257,39.635
,19B,1.677,2.021,2.245,2.429,2.666,2.922,3.038,3.202,3.378,3.905,4.819,5.129,4.300,3.317,2.656,2.724,2.449,2.893,55.770
,19C,393,593,680,750,745,712,770,769,947,1.146,1.256,1.345,1.135,993,803,716,509,589,14.851
,19D,1.110,1.394,1.445,1.482,1.369,1.394,1.642,1.856,1.949,2.195,2.308,2.223,1.785,1.324,1.040,844,636,605,26.601
,19E,504,625,687,668,721,843,885,992,1.087,1.165,1.329,1.344,1.296,1.102,870,743,622,811,16.294
,19F,35,56,90,95,71,62,62,74,91,112,143,155,148,89,123,122,108,110,1.746
,19G,1.365,1.836,1.732,1.638,1.510,1.525,1.882,2.092,2.529,2.852,2.718,2.607,2.009,1.443,1.172,963,753,638,31.264
,19H,114,145,173,208,211,194,177,194,215,284,349,347,273,229,207,164,148,122,3.754
,n.l.,38,54,38,40,27,54,68,56,81,81,85,91,90,48,45,20,14,10,940
,Totale municipio,6.474,8.181,8.881,9.280,9.229,9.513,10.350,11.157,12.462,14.344,16.234,16.831,14.280,11.252,9.115,8.264,6.973,8.035,190.855
XV,20A,423,483,583,695,644,639,583,684,769,884,1.159,1.200,1.037,819,626,637,640,753,13.258
,20B,349,377,488,503,483,461,558,559,595,728,898,865,823,610,459,400,369,324,9.849
,20C,995,1.228,1.502,1.679,1.622,1.663,1.690,1.767,2.154,2.543,2.919,2.824,2.366,1.960,1.574,1.476,1.330,1.455,32.747
,20D,532,709,941,1.064,950,959,841,920,1.069,1.346,1.727,1.891,1.595,1.171,938,880,858,1.067,19.458
,20E,76,112,125,142,146,145,201,229,242,267,288,278,216,155,107,98,93,89,3.009
,20F,63,57,59,42,47,61,88,110,108,112,128,120,76,68,39,35,22,37,1.272
,20G,397,486,588,558,543,505,606,655,768,1.007,1.046,1.011,832,613,525,460,382,423,11.405
,20H,626,828,1.016,1.154,1.077,1.052,1.107,1.171,1.338,1.625,1.865,1.840,1.598,1.191,1.000,878,654,716,20.736
