id;natura_del_bene;indirizzo;numero_civico;latitudine;longitudine;identificativo_catastale;tipologia_bene_immobile;altezza;superficie_di_riferimento_mq;epoca_costruzione;vincolo_culturale_paesaggistico;natura_giuridica_del_bene;utilizzo_del_bene;finalita;tipo_detenzione_a_terzi;canone_annuale;data_decorrenza;zona_omi
11920;FABBRICATO;Lungo Dora Firenze;51;45.07863;7.6908369;"Accatastato - L219:::1213:13::;L219:::1213:12::3";Abitazione;Non Disponibile;23.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Alloggio di servizio, foresterie;;;;
11936;FABBRICATO;corso traiano;143 A;45.0214049;7.6536208;"Accatastato - L219:::1443:647::6;L219:::1443:646::357";Abitazione;Non Disponibile;72.0;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Altro;;;;
11955;FABBRICATO;Strada Comunale di Bertolla;50;45.0997236;7.7435053;"Accatastato - L219:::1094:139::1;L219:::1094:140::1";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;2337.5;Dal 1946 al 1960;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività didattica;;;;
12042;FABBRICATO;Via alla Chiesa;5;45.0899784;7.7138434;"Accatastato - L219:::41:358::;L219:::41:203::1";Edificio scolastico (es.: scuola di ogni ordine e grado, università, scuola di formazione);4.0;2098.5;Dal 1919 al 1945;Dichiarazione di interesse culturale;Demanio;;Non Dichiarato;in concessione a titolo oneroso;4318.0;01/01/2010;
12224;FABBRICATO;Via Maria Bricca;9;45.0651255;7.7075967;"Accatastato - L219:::1311:222::;L219:::1311:225::;L219:::1311:228::;L219:::1311:145::3";Ospedali, case di cura, cliniche e assimilabili;5.0;3435.6;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Servizi assistenza socio-sanitaria (residenziali);;;;
12233;FABBRICATO;via s. agostino;15;45.0751377;7.6801036;"Accatastato - L219:::1219:37::2;L219:::1219:37::1";Locale commerciale, negozio;Non Disponibile;80.0;Prima del 1919;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività commerciale e di ristorazione;;;;
12234;FABBRICATO;corso francia;73;45.0747652;7.6544966;"Accatastato - L219:::1223:9::2;L219:::1223:9::3";Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);Non Disponibile;5000.0;Prima del 1919;Dichiarazione di interesse culturale;Demanio;Utilizzato direttamente;Altro;in concessione a titolo oneroso;20402.0;01/01/2012;
12263;FABBRICATO;Via Refrancore;28;45.10657368;7.65931293;"Accatastato - L219:::1059:322::1;L219:::1059:322::2";Struttura residenziale collettiva (es.: collegi e convitti, educandati, ricoveri, orfanotrofi, ospizi, conventi, seminari);5.0;178.0;Dal 1919 al 1945;Nessuno;Patrimonio indisponibile;Non utilizzato;Non Dichiarato;;;;
12478;FABBRICATO;PIAZZALE FUSI VALDO;SNC;45.0646244;7.686777;"Accatastato - L219:::1281:140::3;L219:::1281:140::2";Locale commerciale, negozio;Non Disponibile;391.0;Dal 2001 al 2010;Nessuno;Patrimonio indisponibile;;Non Dichiarato;in concessione a titolo oneroso;8970.0;01/06/2007;
12615;FABBRICATO;Via Carlo Michele Buscalioni;21;45.0763222;7.7011639;"Accatastato - L219:::1212:145::2;L219:::1212:145::1";Impianto sportivo;Non Disponibile;90.0;Dal 1991 al 2000;Nessuno;Patrimonio indisponibile;Utilizzato direttamente;Attività sportiva, ricreativa e di intrattenimento;;;;
