struttura,lat,lon,categoria,amenity,count_250m,count_500m,count_1km,count_2km,pois_within_2km
Appartamenti ex MOI,45.0303195,7.6554931,sport,pitch,0,10,59,192,"254498263,237277231,237277232,333816553,855334219,203467775,1308029955,1308032364,1185295345,203467774,1185295347,1185295348,87353553,1185295349,1185295344,105601669,89418945,264869627,932516552,1036668376,332956494,1036225746,335813436,5431464842,316774856,106232320,95513738,106232319,1120095454,191138539,1311122971,1311122972,1311122970,1311122969,1311122968,341190170,191136084,1311122962,106252736,106512428,253517570,1172363858,253390290,308180217,249696006,249696004,249696009,239811181,203466393,825117875,1308032356,1308032357,330720254,463835630,1185295342,694253809,675825370,675825371,675825372,675825375,675825373,369649861,203171003,289390790,289390787,1215855053,343244831,272561492,272561493,1359396458,272561562,1359396459,1359396460,387746366,387746377,859714919,859714911,859714921,1297292925,859714920,58233299,1179691010,397807120,117470794,117470799,117470800,191139188,117470791,117470792,191139186,117470793,1120095453,191139185,1311122967,131648865,191139187,131648864,1311122966,1311122965,117470795,131648863,117470796,110971138,164439907,500704439,500704441,1377306467,191379107,561085125,561085130,563091690,561085128,249696008,249696007,249696005,106403253,249696003,1137569352,563091689,563091684,563091688,1137569353,563091685,1137569376,1137569378,1137569377,500651547,500651546,191915874,289390783,289390797,289390784,289390800,289390788,191915876,124069711,124069712,387746376,1451321175,387746375,387746364,1359396455,1359396451,1359396452,693364627,693364626,481253196,499538129,13308739939,1137569375,1137569374,124253933,425484921,1311366022,304926006,304926005,304926004,304926003,252850307,425484914,1311364291,1311364292,111815987,241336707,1385612307,1311364294,425484913,425484919,425484916,425484909,241263809,1311364295,1311364293,241263815,425484924,1132205221,436248508,1445632678,1058453911,272561564,485683423,1359396454,1359396457,387746367,387746370,207860575,1359396456,387746374,1359396453,387746365,1289661072,1427529401"
Appartamenti ex MOI,45.0303195,7.6554931,sport,tennis_court,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,sport,golf_course,0,0,0,1,266141244
Appartamenti ex MOI,45.0303195,7.6554931,sport,ice_rink,0,0,0,1,23028146
Appartamenti ex MOI,45.0303195,7.6554931,sport,bowling_alley,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,sport,climbing_wall,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,sport,gym,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,commerciale,shop,0,0,0,0,
Appartamenti ex MOI,45.0303195,7.6554931,educazione,school,0,1,13,43,"253207985,329302082,327726272,2591701965,335813434,243506045,249740540,846112873,117470798,117470797,612693144,861316389,370435830,174956556,370435829,160591228,815523248,858864692,859215053,374431614,2591701968,374431613,13358200601,369649862,179930022,331723247,49046715,457922347,367970286,253301345,36915187,49048104,49048103,36929942,457909878,369631936,253301370,253301371,613483942,436304902,253301354,815671121,690824769"
Appartamenti ex MOI,45.0303195,7.6554931,educazione,kindergarten,1,2,10,23,"331723250,645892372,861522967,4539789894,4539789896,370436115,253036895,374431615,326146066,1457168481,253207967,457922348,253207978,457922346,245211081,457922345,457917439,253207970,369631938,369631934,457909877,2592486650,253301347"
