struttura,lat,lon,categoria,amenity,count_250m,count_500m,count_1km,count_2km,pois_within_2km
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,park,0,0,8,36,"466175067,104230582,243356957,759194439,646904183,82290353,579229093,646904177,799333352,646904181,149395093,166596454,792699653,171271678,104147826,166986552,83808971,848000866,106251930,44503795,88206888,149395470,39789990,589863206,1164953300,605805917,731935819,41752855,41752854,82202795,23088806,433500383,130457686,698756805,549096612,23026345"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,garden,0,0,4,31,"799305148,759206589,759206590,106331386,1135279260,140266730,107167208,436247597,436245116,436245118,436245117,23089011,589878717,436247596,28193052,1433432894,29176172,130448587,130448589,130448590,130448588,108470281,404714970,29183708,23089014,581600236,664912057,191051285,303807502,561608551,23054276"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,grass,1,2,108,326,"288835317,666707223,759194441,1238389436,1238389437,1150137827,1238389435,1150137826,1239406381,1239406380,1238389427,1239177125,588745424,1132207955,1132207950,1132207951,1132207954,1132207953,1132207957,288835312,288835318,486174619,561542442,561542441,486174620,486174618,486174616,486174615,1239626888,1239626887,579229113,561619126,561619122,561619130,561619125,1132492706,561619121,579229112,1132492002,579229108,561619129,1132492003,579229110,579229099,579229097,579229106,579229101,1132209306,862454070,1132207952,1128002965,1128002964,1132207956,1128002962,1128002963,1311364296,154500720,687010710,687010712,891907991,687010711,154500733,1126792071,131477879,166596453,131477878,757727656,131477880,757727655,646909062,687010714,687010713,687010715,687010716,154500739,154500731,154500729,1066997745,234298691,154500724,316299344,154500737,154500736,315954828,234298714,234298715,234298692,234298708,234298712,234298709,234298702,234298698,234298695,234298694,234298699,234298703,234298687,234298690,234298711,234298688,234298710,234298707,234298706,234298700,234298713,234298697,234298696,234298689,234298693,234298705,234298701,234298704,315954833,181232343,181232355,181232342,181232349,181232340,181232352,286653246,181232353,181232350,181232347,181232345,181232348,181232341,286653247,181232346,286767165,314388661,286767159,286767161,181232351,286653245,286653244,286653242,242409910,286653241,286646606,286647293,286653240,286653237,286646604,286646594,286645617,286653239,286646607,286647294,286646605,286647291,732177417,286646595,1236922853,286646601,732177420,732177418,286646602,732177419,286646603,286647290,286646597,577460557,485912130,485912131,485912126,485912128,485912129,579229154,485912127,579229089,1126040506,1126042440,730665854,690822581,690822578,690822577,579953323,579953322,579953321,579953320,579953319,579953318,579953317,579916574,579916577,579953316,579953328,690822582,379516467,579953324,379516466,579953327,579953326,579953325,690824765,690824749,690824748,866606424,922479075,922479076,730682845,730682868,730682867,730682869,589878721,730682864,730682866,945490938,730682863,730682844,589878716,945490937,943784964,943784963,943782516,943782515,730682843,589878718,730682865,730682842,730682862,589878720,589878719,589878715,1034782636,730684397,736826338,706164330,730771776,166653765,690808828,690808830,690808831,333831817,242409911,544187117,286636546,242409909,286656050,286636547,286636548,286664226,286636549,732157565,286664225,318948807,326073532,326073533,319649516,732096036,732096037,732096038,731939743,731935824,731935825,731939740,731939738,731939741,221891468,731939739,731939742,732125145,732125146,732177422,732125147,178997269,732125144,178997273,732125148,732125140,178997270,684348512,732125143,732125142,732125141,732125149,732125150,732125151,732125152,732157570,286656044,732125138,732157568,732157569,732157567,286656041,732125139,462066644,684095662,130448586,684095663,130448583,589459961,589459963,589459964,415224186,589459962,463612383,463612382,914641482,401668588,561611213,561611216,561611209,561611219,561611214,561611211,561611221,561611218,123242586,123242589,123242584,1447741497,1264205127,1455462300,1455462921,1455462291,1455462301,337361722,1362575098,245046146,1098853222,245045846,397809397,245045845,245045844"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,wood,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,forest,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,meadow,0,0,0,0,
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,scrub,0,0,0,1,360131117
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,allotments,0,0,0,1,328621268
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,playground,0,4,11,44,"10696669360,1135247414,171271131,557627561,1238389440,467446544,50258285,77722952,111815995,579229091,50174964,7685973296,1114952714,10187943589,140235237,1135279252,165022279,306160704,556681453,906203825,306160702,448162839,1217815310,910933663,1445632679,660162335,660162333,942887046,942888157,105377046,83093080,4968614878,83051429,83051428,448434079,1149617853,1149617852,499890620,1438254805,130457685,561242634,1193870930,1780526494,191211963"
Casa di Riposo RSA Crocetta,45.0576071,7.6636406,verde,recreation_ground,0,0,0,0,
