id;gruppo_catastale;quotazione_immobiliare_mq
43207;C;1530.0
43208;C;1530.0
43211;C;1530.0
43212;C;1530.0
44210;D;1776.0
44211;C;1530.0
44226;A;1948.0
44227;C;1530.0
54201;A;1800.0
54202;A;1384.0
54203;C;1298.0
54205;A;1800.0
54207;A;1988.0
69712;A;1948.0
69714;A;1948.0
88451;C;1227.0
248449;A;1525.0
251960;A;1000.0
257494;A;1000.0
257495;A;1000.0
257496;A;1000.0
257497;A;1000.0
257498;A;1000.0
257499;A;1000.0
257500;A;1000.0
257501;A;1000.0
257502;A;1000.0
257503;A;1000.0
257504;A;1000.0
257505;A;1000.0
257506;A;1000.0
257512;A;1000.0
257521;A;1000.0
257529;A;1000.0
257539;A;1000.0
257543;A;1000.0
257544;A;1000.0
257545;A;1000.0
292655;A;863.0
292657;;939.0
293553;A;1497.0
293554;A;1497.0
293556;A;1497.0
293557;A;1497.0
293558;A;1497.0
293559;A;1497.0
293560;A;1497.0
293561;A;1497.0
293562;A;1497.0
293563;A;1497.0
295000;A;1034.0
301849;A;1138.0
301851;A;1138.0
301852;A;1138.0
301853;A;1138.0
301854;A;1138.0
301855;A;1138.0
301856;A;1138.0
301857;A;1138.0
303849;A;1855.0
303853;B;1888.0
338610;;1303.0
338611;;1303.0
338612;;1303.0
338613;;1303.0
338614;;1303.0
338624;;1303.0
338625;;1303.0
338626;;1303.0
338627;;1303.0
338628;;1303.0
338629;;1303.0
338630;;1303.0
338631;;1303.0
338632;;1303.0
338659;B;1303.0
338703;B;850.0
338704;;850.0
338705;;850.0
338706;;850.0
338707;D;315.0
338714;D;1302.0
338749;A;1447.0
338751;B;1303.0
338752;A;1235.0
338753;A;1235.0
373568;A;1948.0
381821;B;1294.0
381822;A;1140.0
381823;A;1140.0
381824;A;1140.0
381825;A;1140.0
381826;A;1140.0
381827;A;1140.0
381828;C;875.0
381839;B;2050.0
382042;A;1870.0
382043;C;1267.0
382044;B;1801.0
382050;B;1561.0
382051;A;1447.0
382052;A;1447.0
382053;C;1242.0
382054;;1561.0
382055;;1561.0
382493;A;1515.0
388058;C;718.0
388059;B;939.0
388082;B;1394.0
388085;C;1033.0
388086;C;1033.0
388087;C;1033.0
388088;B;1394.0
388089;B;1394.0
388090;B;1394.0
388091;D;1394.0
388095;B;1394.0
388100;B;1938.0
388102;A;1805.0
388124;C;662.0
388125;A;1000.0
388126;A;1000.0
388129;B;862.0
388140;A;885.0
388141;A;885.0
388181;B;1547.0
388182;A;1497.0
388183;A;1497.0
388185;A;1525.0
388187;B;1553.0
388188;C;908.0
388189;C;908.0
388190;C;908.0
388191;C;908.0
388192;C;908.0
388193;C;908.0
388194;C;908.0
388195;C;908.0
388196;C;908.0
388197;C;908.0
388198;C;908.0
388199;C;908.0
388200;C;908.0
388201;C;908.0
