immobile_id,category,score,percentile
3107630,verde,6.4609830490125,9.390334072729717
3107630,sport,2.480344809235506,5.639577871882772
3107630,commerciale,1.2453218295197501,19.896484506284867
3107630,educazione,0.996712219976622,14.472003764199771
3107631,sanità,0.3178117017831708,3.3172010485985077
3107631,mobilità,2.8193451831281635,0.4133897963299052
3107631,verde,4.904601931578146,3.3575317604355717
3107631,sport,1.4604744236249407,3.0819385628823013
3107631,commerciale,0.4246324734354733,1.791355784096256
3107631,educazione,0.08567057043014487,0.662095852658466
3107632,sanità,0.3178117017831708,3.3172010485985077
3107632,mobilità,2.8193451831281635,0.4133897963299052
3107632,verde,4.904601931578146,3.3575317604355717
3107632,sport,1.4604744236249407,3.0819385628823013
3107632,commerciale,0.4246324734354733,1.791355784096256
3107632,educazione,0.08567057043014487,0.662095852658466
3107633,sanità,0.3276900423554988,3.4684412179874973
3107633,mobilità,2.9491269909790505,0.6520131746992001
3107633,verde,5.061332671814226,3.649929421254285
3107633,sport,1.5740816906736168,3.495328359212207
3107633,commerciale,0.43274268083718864,2.4198427102238353
3107633,educazione,0.12409258602541495,0.9948242253142434
3107634,sanità,0.8094989608828238,13.443570612354641
3107634,mobilità,6.663661430537333,5.740404651475432
3107634,verde,12.187198309270721,19.103313840155945
3107634,sport,2.9016611244437267,7.051152786180009
3107634,commerciale,0.8669707769220107,8.415675203334006
3107634,educazione,1.0340115950226358,15.37944478053371
3107635,sanità,0.6876003629350314,11.245546817234658
3107635,mobilità,7.0406796565281935,6.627680311890838
3107635,verde,11.504275543487392,18.59245815688647
3107635,sport,2.7968869168934076,6.74867244740203
3107635,commerciale,0.837440426896607,8.106473079249849
3107635,educazione,0.8617083611305909,10.217113665389528
3107636,sanità,1.534010895037165,42.7673590105532
3107636,mobilità,12.19557077911126,40.401290582778785
3107636,verde,7.478677636267636,12.398332997244069
3107636,sport,3.1084294586438816,7.639309000470525
3107636,commerciale,1.4095467843590013,28.268468105128722
3107636,educazione,1.2091035082866999,18.696645829132216
3107637,sanità,1.5059325293329662,40.51892182563689
3107637,mobilità,8.23224851779458,10.203670094777173
3107637,verde,7.27466142305987,10.943066478456679
3107637,sport,3.3196528994313836,9.96168582375479
3107637,commerciale,1.3911222615746155,26.698931236136318
3107637,educazione,1.077898286969286,17.18760502789541
3107638,sanità,1.517744524515681,41.72548228809572
3107638,mobilità,8.230424893751147,10.099482422531425
3107638,verde,7.412242620489607,11.786650534381932
3107638,sport,3.2217294348502055,9.192041406197486
3107638,commerciale,1.3904162864781338,26.601465349196747
3107638,educazione,1.217426777256662,18.824359749949586
3107639,sanità,1.5274377013753988,42.51865295422464
3107639,mobilità,9.842627818130143,21.855884923035557
3107639,verde,7.487595563630725,12.687369765409693
3107639,sport,3.1224087126513203,7.834240774349667
3107639,commerciale,1.425019699503057,28.49700880553875
3107639,educazione,1.0220170221954643,15.019829266653224
3107640,sanità,1.5009257166354841,40.253411306042885
3107640,mobilità,8.287680949325102,10.482624184983532
3107640,verde,7.355812650414944,11.43711769846071
3107640,sport,3.3339846928784187,10.153256704980842
3107640,commerciale,1.3949242932270305,27.159373529609464
3107640,educazione,1.0709696227352359,17.02964307320024
3107641,sanità,1.5117780874822186,41.15076964441756
3107641,mobilità,8.307350497318682,10.71452577804665
3107641,verde,7.420285960083224,11.877394636015325
3107641,sport,3.2314048871520216,9.45755192579149
3107641,commerciale,1.3798785883435005,25.872151643476506
3107641,educazione,1.0661674307775642,16.70363648585064
3107642,sanità,1.5220740106815132,42.14895476238489
3107642,mobilità,8.300058401873725,10.603616320494723
3107642,verde,7.486518707713531,12.59326477112321
3107642,sport,3.134333418201964,8.089668615984404
3107642,commerciale,1.3966756308208228,27.280365665120655
3107642,educazione,1.014148280885668,14.878671775223498
3107643,sanità,1.12192264824775,22.393627747529745
3107643,mobilità,8.682061416135353,14.683740001344356
3107643,verde,7.606567270922795,13.52087114337568
3107643,sport,3.1959209544167146,8.6542985817033
3107643,commerciale,1.2890900255060729,20.928278550783087
3107643,educazione,0.9720468986295456,13.783020770316595
3107644,sanità,1.493650985656675,39.876991328896956
3107644,mobilità,8.388845879402094,11.269073065806278
3107644,verde,7.355000198431301,11.343012704174228
3107644,sport,3.358176642997914,10.280970625798211
3107644,commerciale,1.4005182551326512,27.576124218592458
3107644,educazione,1.0631870541226878,16.55911810176783
3107645,sanità,1.516416964121128,41.35578409625597
3107645,mobilità,8.340910829636263,10.899374873966526
3107645,verde,7.484009343037208,12.499159776836727
3107645,sport,3.1297360465823236,7.935067553942327
3107645,commerciale,1.3764502154802032,25.694024332862806
3107645,educazione,1.0065441939782929,14.717348927875243
3107646,sanità,1.508863966523054,40.89870269543591
3107646,mobilità,8.43837465255834,11.41695234254218
3107646,verde,7.352603637141738,11.255629495193924
3107646,sport,3.333143619907747,10.072595281306715
3107646,commerciale,1.405776697076305,27.965987766350743
3107646,educazione,1.105339512413339,17.668212677287087
3107647,sanità,1.4998596723528996,40.149223633797135
3107647,mobilità,8.380826394884487,11.16488539356053
3107647,verde,7.27304064576433,10.842239698864018
3107647,sport,3.2142283237720988,9.08113194864556
3107647,commerciale,1.4068389893460709,28.056731867984137
3107647,educazione,1.0998404235783341,17.490085366673387
3107648,sanità,1.5104179294736124,41.04658197217181
3107648,mobilità,8.364057449983823,11.040532365396249
3107648,verde,7.409030019047213,11.672380184176918
3107648,sport,3.1211028607243416,7.740135780063184
3107648,commerciale,1.4090101739238015,28.17436311084224
3107648,educazione,0.9970448223996407,14.529138939302278
3107649,sanità,1.5182988203997443,41.927135847281036
3107649,mobilità,9.637753171809628,19.89312361363178
3107649,verde,7.440575200362397,12.021913020098138
3107649,sport,3.2277293900136863,9.299589971096323
3107649,commerciale,1.396798713868112,27.387914230019494
3107649,educazione,1.0389147902479003,16.249915977683674
3107650,sanità,1.5310959725197326,42.65308866034819
3107650,mobilità,9.691936538865953,20.22249109363447
3107650,verde,7.472724266505461,12.189957652752572
3107650,sport,3.151666166543578,8.385427169456207
3107650,commerciale,1.400711543979115,27.690394568797473
3107650,educazione,1.235071982450093,19.160449015258454
3107651,sanità,1.1284204368428088,22.544867916918733
3107651,mobilità,8.58946458914922,14.337568058076224
3107651,verde,7.436137686459084,11.951334274383276
3107651,sport,3.269526129477755,9.58526584660886
3107651,commerciale,1.3217797233893414,22.10123008671103
3107651,educazione,1.0895848477036123,17.375815016468373
3107652,sanità,1.5411646504173848,42.979095247697785
3107652,mobilità,12.085543430457935,39.01996370235935
3107652,verde,7.477843260348309,12.300867110304496
3107652,sport,3.0857774796696944,7.488068831081535
3107652,commerciale,1.4037923378103314,27.855078308798817
3107652,educazione,1.2184783797522458,18.921825636889157
3107653,sanità,1.1104983758781288,21.906298312831886
3107653,mobilità,8.753688007108673,15.070242656449553
3107653,verde,7.503004649279474,12.899106002554278
3107653,sport,3.2082582859110587,8.892921960072595
3107653,commerciale,1.3372023684149423,22.813739329165827
3107653,educazione,0.988481191655431,14.277071990320628
3107654,sanità,1.1047942742187953,21.469382267930364
3107654,mobilità,8.859629969096078,15.742421187067285
3107654,verde,7.590004655787902,13.362909188680513
3107654,sport,3.1380612060059425,8.220743429454863
3107654,commerciale,1.325785794985603,22.3768232842643
3107654,educazione,1.0668317382408,16.838072191974188
3107655,sanità,1.5123229992224079,41.24151374605095
3107655,mobilità,9.742157836861335,21.318142098541372
3107655,verde,7.344540950059956,11.154802715601264
3107655,sport,3.2837511765254597,9.810445654365799
3107655,commerciale,1.3925381620793171,26.796397123075888
3107655,educazione,1.0337097201592298,15.322309605431203
3107656,sanità,1.1291269118725864,22.58183773610271
3107656,mobilità,8.308552264924954,10.771660953149157
3107656,verde,7.604864617565456,13.480540431538616
3107656,sport,3.192307415714357,8.600524299253882
3107656,commerciale,1.278236967624945,20.67285070914835
3107656,educazione,0.9304539594866202,12.91591046581972
3107657,sanità,0.8147060963629431,13.504066680110236
3107657,mobilità,8.710834797490705,14.841701956039524
3107657,verde,13.155406076908758,20.978691940579417
3107657,sport,2.927534859632765,7.1116488539356055
3107657,commerciale,0.8884678880168237,8.771929824561404
3107657,educazione,1.2235295717123842,19.03609598709417
3107658,sanità,0.6796384765387437,11.08758486253949
3107658,mobilità,7.745837650133797,8.70135107884654
3107658,verde,12.292905357084402,19.200779727095515
3107658,sport,2.235126508821988,5.19257914902198
3107658,commerciale,0.8940614787436669,8.876117496807153
3107658,educazione,0.9782270964493565,13.957787188277207
3107659,sanità,1.1719884604149642,24.695839214895475
3107659,mobilità,9.757193826376252,21.39544262956241
3107659,verde,14.757310024794563,26.450225179807756
3107659,sport,2.7617488258793035,6.614236741278483
3107659,commerciale,1.0441482886755895,12.91927135847281
3107659,educazione,1.8422273206521584,29.434697855750485
3107660,sanità,1.521085875101875,42.064932446057675
3107660,mobilità,11.470097579696745,32.217516972507894
3107660,verde,18.4060978559737,30.40263493984002
3107660,sport,3.1322104844837937,8.012368084963366
3107660,commerciale,1.322729120873166,22.161726154466624
3107660,educazione,1.676285764173272,26.053639846743295
3107661,sanità,1.5471807276919944,43.1538616656584
3107661,mobilità,11.512568032170213,35.29609464273711
3107661,verde,18.606455971635064,30.577401357800632
